country_code;year;gear_type;metier;mismatch;;Count of mismatch;Column Labels;;;;;;;;;;;
DNK;2022;GTR;GNS_ANA_>=157_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2016;OTB;PS_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2014;OTM;OTB_CRU_100-119_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2013;OTB;NK;#VALUE!;;;;;;;;;;;;;;
ESP;2016;PS;NK;#VALUE!;;;;;;;;;;;;;;
PRT;2022;GNS;GTR_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2017;OTM;PTM_SPF_40-54_0_0;#VALUE!;;;;;;;;;;;;;;
ENG;2020;TBB;NK;#VALUE!;;;;;;;;;;;;;;
ESP;2020;GNS;LLS_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ENG;2015;TBB;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
SCO;2020;GNS;NK;#VALUE!;;;;;;;;;;;;;;
ENG;2019;GNS;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2023;FPO;OTB_CRU_70-99_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2021;LLD;NK;#VALUE!;;;;;;;;;;;;;;
IRL;2018;OTM;PTM_SPF_40-54_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2013;NO;PS_SPF_<16_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2022;FYK;GNS_DEF_>=157_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2016;TBB;GTR_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2019;OTB;GNS_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2022;FPO;GTR_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2022;OTM;PTM_SPF_16-31_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2012;FPO;PTM_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2020;GNS;FPO_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
SCO;2016;FPO;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2018;GTR;GNS_DEF_110-156_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2014;FPN;FPO_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2018;LHM;FPO_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2019;GND;GNS_CRU_100-119_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2020;OTB;LHP_LPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
FIN;2021;GNS;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2021;DRB;NK;#VALUE!;;;;;;;;;;;;;;
PRT;2016;PS;NK;#VALUE!;;;;;;;;;;;;;;
ESP;2015;LHP;DRB_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2018;PS;LHM_SPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2023;FPO;FWR_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;LLD;LTL_LPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2016;GTR;FPO_MOL_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2013;GTN;GNS_SLP_>=16_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2016;LLS;GTR_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2016;GTR;GNS_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2021;OTT;OTB_DEF_100-119_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2022;PTB;OTB_DEF_<16_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2014;OTM;OTB_MDD_>=120_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2018;OTB;NK;#VALUE!;;;;;;;;;;;;;;
ESP;2022;LHP;LHM_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
IOM;2019;LLS;LLD_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2022;GNS;GTR_DEF_110-156_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2013;LHP;GNS_DEF_90-99_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2021;FPN;OTB_DEF_105-115_1_120;#VALUE!;;;;;;;;;;;;;;
ESP;2021;OTB;PS_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2020;OTB;GNS_DEF_50-59_0_0;#VALUE!;;;;;;;;;;;;;;
ENG;2016;TBB;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
BGR;2023;NO;DIV_MOL_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2016;GTN;FPO_CRU_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2022;FPO;GNS_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2021;OTM;PTM_SPF_32-39_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2021;OTM;PTM_SPF_40-54_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2016;NK;GTR_DEF_110-156_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2016;OTT;PTM_SPF_70-99_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2016;DRB;FPO_DEF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
NIR;2014;LLS;LLD_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2019;PS;NK;#VALUE!;;;;;;;;;;;;;;
ESP;2017;GNS;LHM_SPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
SCO;2017;DRB;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
FRA;2019;LNB;LN_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2019;PS;LHM_SPF_0_0_0;#VALUE!;;;;;;;;;;;;;;
FIN;2017;PTM;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2019;OTM;NK;#VALUE!;;;;;;;;;;;;;;
SCO;2016;SV;SSC_DEF_>=120_0_0;#VALUE!;;;;;;;;;;;;;;
ENG;2019;GNC;GNS_SPF_10-30_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2017;GNS;GTR_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2015;DRB;GTR_DEF_>=16_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2020;LLD;LLS_DEF_0_0_0;#VALUE!;;;;;;;;;;;;;;
IRL;2023;OTM;PTM_SPF_16-31_0_0;#VALUE!;;;;;;;;;;;;;;
PRT;2022;GNS;NK;#VALUE!;;;;;;;;;;;;;;
ESP;2015;OTB;NK;#VALUE!;;;;;;;;;;;;;;
IRL;2015;FPO;GNS_DEF_120-219_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2021;GNS;FPN_CAT_>0_0_0;#VALUE!;;;;;;;;;;;;;;
SCO;2014;OTB;NK;#VALUE!;;;;;;;;;;;;;;
FRA;2018;NO;DIV_CEP_0_0_0;#VALUE!;;;;;;;;;;;;;;
ENG;2015;GND;MIS_MIS_0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2016;LHM;PS_SPF_>0_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2014;GNS;GTR_DEF_60-69_0_0;#VALUE!;;;;;;;;;;;;;;
DNK;2021;OTT;OTB_DEF_>=120_0_0;#VALUE!;;;;;;;;;;;;;;
ESP;2023;PS;SDN_MCF_55-64_0_0;#VALUE!;;;;;;;;;;;;;;
